domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
role:14025 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
role:14030 ,4,7,6,6,9,11,6,6,6,7,6,5,5,5,6,3,4,4,6,6,5,4,5,8,6,6,8,5,8
role:14035 ,4,5,4,4,0,9,4,3,5,4,6,4,4,2,4,2,0,6,2,6,2,0,2,4,5,7,1,3,3
role:14040 ,9,6,9,9,9,10,9,8,8,7,8,6,6,7,8,7,7,14,6,8,8,7,4,9,8,6,8,8,9
role:14045 ,3,3,4,4,4,2,4,3,5,5,5,3,3,2,5,3,3,5,5,5,4,3,3,2,5,4,4,4,2
role:14050 ,5,7,6,6,5,5,6,6,5,7,4,6,7,5,7,5,4,5,7,4,5,8,7,5,7,4,5,6,5
role:14055 ,5,5,3,3,4,5,3,3,3,3,4,2,3,3,5,4,2,6,3,3,2,4,2,3,4,3,4,3,3
role:14060 ,4,5,6,6,6,9,7,4,6,6,7,6,5,4,7,2,6,6,5,6,4,9,2,8,7,8,6,7,8
role:14065 ,8,8,6,6,7,8,6,7,4,7,5,4,5,7,9,8,3,1,7,4,5,8,4,3,7,4,7,7,3
role:14070 ,10,0,0,0,0,0,0,1,10,0,10,0,0,0,0,0,0,10,1,10,3,0,0,0,0,10,0,1,0
role:15010 ,3,4,3,3,5,5,3,4,3,3,3,4,4,3,4,4,3,4,5,4,4,2,3,5,4,3,4,4,5
role:15015 ,1,1,2,3,1,1,3,2,4,2,5,1,1,2,2,1,1,1,2,5,1,1,2,1,2,4,1,2,1
role:15020 ,4,1,6,5,3,2,7,3,6,4,6,2,1,2,7,3,2,4,3,5,3,2,2,2,6,7,3,3,2
role:15030 ,1,0,5,5,3,4,5,0,0,2,0,1,1,0,2,0,1,2,0,0,0,0,0,0,5,0,3,0,0
role:15040 ,4,4,6,6,2,5,6,4,6,5,8,3,3,0,13,3,4,4,1,7,5,3,0,4,10,7,2,6,4
role:15060 ,7,6,9,9,0,2,9,7,7,5,4,2,0,4,8,0,0,5,5,4,5,4,0,6,8,8,0,8,6
role:15070 ,8,2,6,6,1,5,7,2,4,8,4,1,2,4,11,1,2,3,3,3,5,1,2,4,6,4,1,3,4
role:17015 ,29,21,33,33,20,26,32,22,11,22,12,15,13,7,43,8,19,19,13,14,9,13,9,11,38,13,20,14,9
role:17020 ,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
role:17025 ,9,10,8,8,10,8,8,10,7,9,6,8,8,7,9,8,6,7,9,6,9,7,9,8,8,6,11,8,8
role:17035 ,1,2,2,2,3,0,2,2,2,2,2,2,2,0,2,0,1,1,1,2,2,0,0,0,2,2,3,1,1
role:17040 ,5,5,5,5,4,8,5,1,2,5,1,1,2,2,4,3,1,2,2,2,2,0,2,7,4,2,3,4,9
role:17049 ,6,11,10,11,7,18,10,8,9,10,7,6,6,9,13,12,5,7,7,7,7,9,7,13,13,7,8,8,13
role:17050 ,6,6,7,7,6,7,7,8,10,7,9,8,8,10,10,6,6,7,9,9,9,2,8,6,8,9,6,10,7
role:17055 ,1,1,1,1,2,1,1,1,2,1,3,2,2,0,1,1,2,2,1,3,1,1,0,1,1,2,2,1,1
role:17060 ,7,6,5,5,7,4,5,12,3,7,3,4,4,8,8,8,4,4,7,3,10,4,8,4,9,4,7,7,4
