domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
CL0373 ,1,1,0,2,0,1,1,0,1,0,1,0,2,0,1,1,1,1,1,3,0,0,0,0,1,3,0,1,1
CL0374 ,2,2,1,1,1,3,1,2,2,1,2,2,3,1,1,1,2,2,1,2,1,1,0,2,1,2,1,1,2
CL0376 ,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,1,1,3,0,0,1,1,2
CL0377 ,19,5,3,6,3,2,3,6,5,5,5,3,5,3,5,3,5,12,3,6,4,2,2,1,5,3,3,8,1
CL0378 ,47,10,14,17,9,22,16,14,14,7,17,7,10,11,21,8,4,23,8,13,27,10,9,4,15,17,7,39,4
CL0379 ,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
CL0380 ,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0
CL0381 ,13,12,6,7,11,23,6,13,15,4,14,9,9,8,9,14,9,23,14,15,14,10,6,10,9,15,7,12,9
CL0382 ,10,6,5,9,3,13,6,12,11,8,7,10,6,5,13,5,5,14,6,11,7,5,3,4,10,11,7,6,5
CL0383 ,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1
CL0384 ,4,2,2,1,1,5,1,2,2,2,2,2,1,2,2,5,2,1,4,2,3,1,2,4,2,1,1,2,4
CL0385 ,0,2,4,4,0,0,4,0,1,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,2,1,0,0,0
CL0387 ,4,3,2,2,2,3,2,2,3,2,5,2,4,9,3,3,2,3,11,3,7,3,2,4,2,3,2,10,2
CL0388 ,31,2,8,8,3,3,7,10,13,11,9,9,8,7,15,0,0,11,18,9,5,0,6,1,12,7,3,10,1
CL0392 ,0,2,0,1,2,1,0,1,2,1,3,2,3,2,1,0,1,2,1,3,0,3,2,0,0,3,2,1,0
CL0393 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0394 ,0,0,3,3,0,1,3,0,0,3,0,0,1,0,3,2,0,0,0,0,0,0,0,2,3,0,0,0,1
CL0395 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CL0397 ,1,1,2,2,0,2,2,1,1,2,1,0,1,0,2,0,0,1,0,1,0,0,0,1,2,1,0,0,1
CL0399 ,8,2,2,2,1,4,2,2,9,1,5,2,1,5,5,1,2,12,5,4,1,1,2,1,3,2,1,2,1
CL0400 ,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0401 ,5,4,6,6,3,0,6,4,4,6,4,4,4,0,6,5,2,8,0,4,0,3,0,0,6,4,3,0,0
CL0403 ,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,2,1,0,0,1,0,2,0
CL0404 ,117,24,75,82,12,64,75,54,66,79,48,10,9,115,94,7,6,105,116,54,43,6,62,24,75,49,14,39,22
CL0406 ,5,4,3,3,2,2,3,3,9,3,8,3,2,3,4,1,3,4,2,7,2,0,1,1,4,8,1,3,1
CL0407 ,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
CL0408 ,3,2,1,1,2,6,1,1,4,0,3,1,1,3,1,4,1,2,2,3,1,3,3,2,1,3,1,1,2
CL0410 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CL0412 ,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0
CL0413 ,2,2,1,1,1,3,2,1,2,1,1,1,1,1,2,3,1,3,1,1,1,4,1,2,1,1,2,1,2
CL0414 ,1,0,2,2,0,0,2,1,3,1,4,0,0,0,2,0,0,2,1,3,0,0,0,0,3,4,0,0,0
CL0418 ,0,1,2,2,1,2,2,0,0,1,0,2,4,0,1,0,4,0,1,0,0,5,0,1,1,1,2,0,1
CL0419 ,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0
CL0420 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2
CL0423 ,11,2,7,8,5,2,7,5,4,5,0,0,1,2,5,3,0,15,1,1,3,1,1,2,9,1,2,2,1
CL0424 ,3,4,3,3,2,1,3,1,2,3,3,2,2,1,3,1,2,2,2,3,2,0,2,0,3,2,2,1,0
CL0425 ,5,7,3,3,5,3,3,5,3,5,3,5,5,2,5,3,5,7,2,5,7,3,2,5,5,5,6,5,5
CL0426 ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
CL0428 ,4,6,6,6,13,0,6,8,2,5,3,4,6,0,7,6,4,3,0,2,0,5,0,0,5,2,8,0,0
CL0430 ,4,2,3,3,1,0,3,4,1,4,1,2,3,1,4,1,2,6,0,2,0,1,0,0,5,2,1,1,0
CL0431 ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CL0433 ,4,4,4,4,5,3,4,8,4,4,4,5,4,2,6,3,1,4,4,4,3,2,2,0,5,4,5,1,0
CL0434 ,0,1,2,5,0,0,2,0,0,1,0,0,0,0,3,6,2,0,0,0,0,1,0,0,2,0,0,1,0
CL0436 ,1,2,2,2,2,1,2,1,1,2,2,2,2,1,2,1,2,1,2,2,2,0,2,0,2,1,2,1,0
CL0438 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CL0439 ,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1
CL0441 ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
CL0442 ,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0
CL0446 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CL0447 ,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,2,1,1,0,0,1,1,1
CL0453 ,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CL0455 ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0457 ,1,1,0,0,0,0,0,1,4,0,2,1,0,0,0,1,1,1,0,2,0,0,0,0,0,2,0,0,0
CL0458 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CL0461 ,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
